,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,gross_profit,ROI (%)
411,2000000,['Comedy'],203217,tt2464018,5.997000000000001,2013-06-21,20552094,85.0,Minha Mãe é Uma Peça: O Filme,7.8,404,18552094.0,927.6047
412,200000000,"['Drama', 'Romance', 'Thriller']",597,tt0120338,25.656,1997-11-18,1845034188,194.0,Titanic,7.8,16022,1645034188.0,822.517094
413,18339750,"['Drama', 'History', 'War']",613,tt0363163,12.929,2004-09-08,92180910,156.0,Downfall,7.8,2039,73841160.0,402.62904347114875
416,8000000,"['Animation', 'Drama', 'Family']",393559,tt2321405,5.669,2016-10-12,292279,66.0,My Life as a Zucchini,7.8,702,-7707721.0,-96.3465125
418,4600000,"['Crime', 'Drama']",12093,tt0300140,7.122000000000001,2002-08-23,1007747,109.0,Lilya 4-ever,7.8,269,-3592253.0,-78.09245652173912
419,1000000,"['Comedy', 'Drama']",2108,tt0088847,12.838,1985-02-15,51525171,98.0,The Breakfast Club,7.8,4984,50525171.0,5052.5171
422,18000000,"['Fantasy', 'Animation', 'Family']",9479,tt0107688,14.43,1993-10-09,75634409,76.0,The Nightmare Before Christmas,7.8,5419,57634409.0,320.1911611111111
423,6900000,"['Animation', 'Adventure', 'Drama', 'Fantasy', 'Family']",16859,tt0097814,18.703,1989-07-29,18172849,103.0,Kiki's Delivery Service,7.8,1818,11272849.0,163.3746231884058
424,829000,"['Thriller', 'Crime']",1480,tt0052311,9.316,1958-03-30,2247465,95.0,Touch of Evil,7.8,737,1418465.0,171.10554885404102
425,12500000,['Comedy'],9421,tt0119038,6.939,1998-04-15,78599508,80.0,The Dinner Game,7.8,1010,66099508.0,528.796064
427,21000000,"['Crime', 'Drama']",1646,tt0463998,12.071,2007-01-05,41170784,123.0,Freedom Writers,7.8,990,20170784.0,96.05135238095238
430,1800000,"['Crime', 'Drama', 'Thriller']",968,tt0072890,13.53,1975-08-11,46665856,125.0,Dog Day Afternoon,7.8,1478,44865856.0,2492.5475555555554
433,15000000,['Drama'],873,tt0088939,8.809,1985-12-18,146292009,154.0,The Color Purple,7.8,846,131292009.0,875.28006
434,94000000,"['Animation', 'Family']",12,tt0266543,32.034,2003-05-30,940335536,100.0,Finding Nemo,7.8,12945,846335536.0,900.3569531914893
436,40000000,"['Mystery', 'Thriller', 'Comedy', 'Crime', 'Drama']",546554,tt8946378,108.054,2019-11-27,163700000,131.0,Knives Out,7.8,2483,123700000.0,309.25
441,2500000,"['Adventure', 'Comedy', 'Drama']",371645,tt4698684,8.838,2016-03-31,23200000,101.0,Hunt for the Wilderpeople,7.8,1077,20700000.0,827.9999999999999
