,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count
3966,11000000,"['Crime', 'Thriller']",101669,tt1434435,8.616,2010-09-23,0,112.0,Mother's Day,6.4,220
3967,40000000,"['Action', 'Comedy']",454992,tt6663582,11.89,2018-08-02,33562069,117.0,The Spy Who Dumped Me,6.4,1288
3968,9000000,"['Comedy', 'Music', 'Romance']",12182,tt0981227,10.91,2008-10-03,32973937,89.0,Nick and Norah's Infinite Playlist,6.4,792
3969,0,"['Adventure', 'Comedy', 'Crime']",117974,tt2023690,5.736,2012-11-30,61782,88.0,Sightseers,6.4,290
3970,210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",36668,tt0376994,0.929,2006-05-24,459359555,104.0,X-Men: The Last Stand,6.4,6486
3971,28000000,"['Action', 'Adventure', 'Crime']",59859,tt1650554,16.642,2013-07-17,60700000,103.0,Kick-Ass 2,6.4,4170
3972,17000000,['Horror'],109428,tt1288558,14.977,2013-04-05,97542952,91.0,Evil Dead,6.4,2959
3973,54000000,"['Fantasy', 'Horror', 'Action', 'Thriller']",36586,tt0187738,17.419,2002-03-22,155010032,117.0,Blade II,6.4,2860
3974,0,"['Crime', 'Drama', 'Thriller', 'Mystery']",374617,tt4781612,11.341,2016-08-19,35000,109.0,Imperium,6.4,774
3975,27000000,"['Drama', 'Mystery', 'Thriller', 'Crime']",9437,tt0119468,11.895,1997-09-29,60527873,115.0,Kiss the Girls,6.4,714
3976,75000,"['Crime', 'Drama', 'Thriller']",10056,tt0048254,6.081,1955-09-21,0,68.0,Killer's Kiss,6.4,246
3977,41300000,"['Comedy', 'Crime']",2069,tt0190138,13.335,2000-02-18,106371651,98.0,The Whole Nine Yards,6.4,1040
3978,40000000,"['Action', 'Adventure', 'Thriller']",708,tt0093428,16.034,1987-06-29,191185897,130.0,The Living Daylights,6.4,860
3979,0,"['Comedy', 'Drama', 'Family', 'TV Movie']",81250,tt1835977,9.318,2011-11-11,0,97.0,Geek Charming,6.4,475
